Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 1,396.57 "," 1,803.02 "," 2,112.89 "," 2,382.38 "," 1,907.30 "," 2,174.95 "," 2,597.48 "," 3,358.76 "," 3,755.84 "," 2,096.70 "," 2,535.80 "," 2,535.80 "," 1,921.97 "
Expenses, 962.73 ," 1,323.69 "," 1,612.65 "," 1,881.12 "," 1,495.22 "," 1,777.46 "," 2,118.07 "," 2,714.30 "," 2,648.83 "," 1,465.04 "," 1,744.90 "," 1,744.90 "," 1,483.02 "
Operating Profit, 433.84 , 479.33 , 500.24 , 501.26 , 412.08 , 397.49 , 479.41 , 644.46 ," 1,107.01 ", 631.66 , 790.90 , 790.90 , 438.95 
Other Income, 6.35 , 7.29 , 15.88 , 19.27 , 30.53 , 35.31 , 48.24 , 75.02 , 74.65 , 94.46 , 99.80 , -   , -   
Depreciation, 38.78 , 55.97 , 65.58 , 68.86 , 58.58 , 59.99 , 50.40 , 58.24 , 67.35 , 75.50 , 70.60 , 70.60 , 70.60 
Interest, 106.17 , 142.87 , 136.87 , 152.29 , 152.92 , 147.86 , 194.84 , 229.34 , 673.23 , 575.96 , 692.30 , 692.30 , 692.30 
Profit before tax, 295.24 , 287.78 , 313.67 , 299.38 , 231.11 , 224.95 , 282.41 , 431.90 , 441.08 , 74.66 , 127.80 , 28.00 , -323.95 
Tax, 94.39 , 91.21 , 107.13 , 100.30 , 106.33 , 84.75 , 88.48 , 145.38 , 151.60 , 9.13 , 24.40 ,19%,19%
Net profit, 200.85 , 196.57 , 206.54 , 199.09 , 124.77 , 140.21 , 193.94 , 286.53 , 289.48 , 65.54 , 103.40 , 22.65 , -262.10 
EPS, 20.47 , 20.04 , 21.05 , 20.29 , 12.72 , 14.56 , 20.46 , 30.22 , 30.54 , 6.91 , 10.91 , 2.39 , -27.66 
Price to earning, 16.27 , 17.37 , 17.79 , 19.81 , 21.54 , 23.59 , 24.83 , 17.09 , 4.38 , 63.20 , 65.82 , 65.82 , 26.52 
Price, 333.15 , 348.10 , 374.50 , 402.05 , 273.95 , 343.50 , 508.00 , 516.60 , 133.85 , 436.95 , 718.35 , 157.38 , -733.59 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,24.41%,34.92%,33.23%,34.48%,15.72%,17.17%,34.24%,23.17%,22.94%,50.66%,,,
OPM,31.06%,26.58%,23.68%,21.04%,21.61%,18.28%,18.46%,19.19%,29.47%,30.13%,31.19%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,4.62%,-0.11%,1.91%,-6.89%,20.94%,20.94%,-6.89%
,,,,,,OPM,23.69%,22.84%,23.31%,25.87%,31.19%,31.19%,22.84%
,,,,,,Price to Earning, 26.52 , 30.03 , 33.15 , 37.63 , 65.82 , 65.82 , 26.52 
