Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 225.37 , 232.76 , 333.70 , 466.88 , 504.80 , 592.60 , 688.51 , 829.33 , 876.84 , 781.41 , 760.80 , 815.08 , 761.34 
Expenses, 206.10 , 210.01 , 273.53 , 338.19 , 376.82 , 443.41 , 527.54 , 601.77 , 673.71 , 547.08 , 603.49 , 597.18 , 603.92 
Operating Profit, 19.27 , 22.75 , 60.17 , 128.69 , 127.98 , 149.19 , 160.97 , 227.56 , 203.13 , 234.33 , 157.31 , 217.90 , 157.42 
Other Income, 11.80 , 10.72 , 16.24 , 31.48 , 38.94 , 37.99 , 42.45 , 18.02 , 97.12 , 44.58 , 161.11 , -   , -   
Depreciation, 10.77 , 9.72 , 7.39 , 5.22 , 4.37 , 4.01 , 5.00 , 6.13 , 20.60 , 18.90 , 17.82 , 17.82 , 17.82 
Interest, 0.02 , 0.05 , 0.17 , 1.14 , 3.91 , 3.99 , 0.17 , 0.08 , 10.90 , 9.72 , 9.19 , 9.19 , 9.19 
Profit before tax, 20.28 , 23.70 , 68.85 , 153.81 , 158.64 , 179.18 , 198.25 , 239.37 , 268.75 , 250.29 , 291.41 , 190.89 , 130.41 
Tax, 5.37 , 7.93 , 15.01 , 36.34 , 41.19 , 45.89 , 46.97 , 66.94 , 57.49 , 71.26 , 48.73 ,17%,17%
Net profit, 14.91 , 15.76 , 53.84 , 117.47 , 117.44 , 133.29 , 151.28 , 172.43 , 211.26 , 179.03 , 242.68 , 158.97 , 108.60 
EPS, 1.42 , 1.50 , 5.12 , 11.17 , 11.16 , 12.67 , 14.38 , 16.39 , 20.08 , 17.02 , 23.06 , 15.11 , 10.32 
Price to earning, 12.77 , 15.59 , 8.58 , 15.98 , 13.06 , 13.31 , 21.76 , 20.60 , 8.18 , 29.92 , 33.59 , 33.59 , 17.58 
Price, 18.10 , 23.35 , 43.90 , 178.45 , 145.75 , 168.65 , 312.90 , 337.70 , 164.20 , 509.20 , 774.50 , 507.34 , 181.37 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,52.92%,116.81%,73.27%,62.69%,80.62%,70.02%,72.05%,76.83%,99.59%,81.25%,,,
OPM,8.55%,9.77%,18.03%,27.56%,25.35%,25.18%,23.38%,27.44%,23.17%,29.99%,20.68%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,14.81%,12.92%,9.13%,4.31%,-2.64%,4.31%,-2.64%
,,,,,,OPM,24.11%,25.99%,25.88%,26.73%,20.68%,26.73%,20.68%
,,,,,,Price to Earning, 17.58 , 19.55 , 21.23 , 23.07 , 33.59 , 33.59 , 17.58 
