Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 13.78 , 31.86 , 162.84 , 93.02 , 86.98 , 197.24 , 175.73 , 237.93 , 259.25 , 313.90 , 229.29 , 380.87 , 336.44 
Expenses, 4.89 , 14.23 , 18.97 , 14.89 , 63.96 , 41.47 , 52.91 , 76.61 , 172.41 , 236.66 , 181.57 , 228.07 , 266.42 
Operating Profit, 8.89 , 17.63 , 143.87 , 78.13 , 23.02 , 155.77 , 122.82 , 161.32 , 86.84 , 77.24 , 47.72 , 152.80 , 70.02 
Other Income, 12.86 , 2.61 , 8.56 , 7.74 , -18.70 , 18.44 , 22.49 , 70.35 , 39.10 , 19.25 , 4.63 , -   , -   
Depreciation, 0.36 , 0.40 , 0.40 , 0.68 , 0.98 , 0.94 , 0.92 , 1.72 , 2.60 , 3.14 , 3.47 , 3.47 , 3.47 
Interest, 5.43 , 9.59 , 9.69 , 8.34 , 5.82 , 13.72 , 14.41 , 34.57 , 43.20 , 48.67 , 44.25 , 44.25 , 44.25 
Profit before tax, 15.96 , 10.25 , 142.34 , 76.85 , -2.48 , 159.55 , 129.98 , 195.38 , 80.14 , 44.68 , 4.63 , 105.08 , 22.30 
Tax, 4.13 , 3.37 , 5.00 , 2.15 , -5.34 , 1.20 , 6.39 , 5.04 , -6.66 , 6.84 , 0.27 ,6%,6%
Net profit, 11.83 , 6.89 , 137.34 , 74.71 , 2.86 , 158.35 , 123.59 , 190.33 , 86.80 , 37.84 , 4.36 , 98.95 , 21.00 
EPS, 0.94 , 0.55 , 10.91 , 5.93 , 0.23 , 12.58 , 8.45 , 13.01 , 5.93 , 2.58 , 0.30 , 6.75 , 1.43 
Price to earning, 202.13 , 365.15 , 12.50 , 21.03 , 499.99 , 15.09 , 50.35 , 35.45 , 35.43 , 108.48 ," 1,630.24 "," 1,630.24 ", 270.53 
Price, 189.93 , 199.83 , 136.40 , 124.78 , 113.58 , 189.85 , 425.30 , 461.25 , 210.05 , 280.40 , 484.85 ," 11,004.03 ", 387.52 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,12.76%,16.40%,4.59%,2.20%,440.21%,11.92%,17.75%,11.53%,25.30%,58.03%,,,
OPM,64.51%,55.34%,88.35%,83.99%,26.47%,78.97%,69.89%,67.80%,33.50%,24.61%,20.81%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,41.53%,9.83%,29.26%,21.33%,21.08%,21.33%,9.83%
,,,,,,OPM,55.68%,51.69%,51.01%,40.12%,20.81%,40.12%,20.81%
,,,,,,Price to Earning, 270.53 , 299.51 , 312.51 , 452.40 ," 1,630.24 "," 1,630.24 ", 270.53 
