Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 7,996.25 "," 8,382.06 "," 8,679.39 "," 10,083.60 "," 8,220.86 "," 3,606.80 "," 3,466.01 "," 3,121.25 "," 2,920.29 "," 2,998.88 "," 3,447.52 "," 3,447.52 "," 2,369.19 "
Expenses," 7,029.39 "," 7,323.56 "," 7,808.06 "," 9,044.77 "," 7,247.03 "," 2,748.38 "," 1,394.17 "," 2,432.98 "," 2,202.25 "," 2,388.00 "," 2,608.56 "," 2,608.56 "," 1,976.55 "
Operating Profit, 966.86 ," 1,058.50 ", 871.33 ," 1,038.83 ", 973.83 , 858.42 ," 2,071.84 ", 688.27 , 718.04 , 610.88 , 838.96 , 838.96 , 392.64 
Other Income, 232.36 , 184.41 , 41.69 , 194.75 , 236.16 , 289.64 , 187.30 , 622.72 ," 6,477.55 ", 219.15 , 247.86 , -   , -   
Depreciation, 224.68 , 214.29 , 158.82 , 192.71 , 153.50 , 129.60 , 126.55 , 140.34 , 149.50 , 197.32 , 216.57 , 216.57 , 216.57 
Interest, 210.19 , 203.25 , 185.32 , 186.78 , 215.16 , 100.98 , 86.51 , 86.14 , 43.37 , 18.74 , 19.21 , 19.21 , 19.21 
Profit before tax, 764.35 , 825.37 , 568.88 , 854.09 , 841.33 , 917.48 ," 2,046.08 "," 1,084.51 "," 7,002.72 ", 613.97 , 851.04 , 603.18 , 156.86 
Tax, 177.75 , 182.05 , 132.81 , 216.12 , 175.13 , 224.77 , 279.12 , 229.67 , 162.50 , 134.86 , 192.64 ,23%,23%
Net profit, 586.60 , 643.32 , 436.07 , 637.97 , 666.20 , 692.71 ," 1,766.96 ", 854.84 ," 6,840.22 ", 479.11 , 658.40 , 466.65 , 121.36 
EPS, 23.02 , 25.25 , 17.11 , 25.04 , 26.15 , 27.19 , 69.35 , 33.55 , 268.45 , 18.80 , 25.83 , 18.31 , 4.76 
Price to earning, 6.71 , 5.68 , 7.48 , 7.90 , 6.37 , 9.82 , 4.35 , 7.82 , 0.83 , 39.98 , 38.86 , 38.86 , 12.35 
Price, 154.50 , 143.34 , 128.01 , 197.69 , 166.56 , 266.87 , 301.81 , 262.43 , 223.55 , 751.80 ," 1,003.75 ", 711.41 , 58.78 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,43.44%,39.61%,58.44%,49.93%,38.25%,40.46%,31.73%,37.26%,4.10%,53.19%,,,
OPM,12.09%,12.63%,10.04%,10.30%,11.85%,23.80%,59.78%,22.05%,24.59%,20.37%,24.34%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-10.32%,-14.09%,-18.26%,-4.71%,14.96%,14.96%,-18.26%
,,,,,,OPM,16.57%,20.22%,30.70%,22.31%,24.34%,24.34%,16.57%
,,,,,,Price to Earning, 12.35 , 14.49 , 16.94 , 21.87 , 38.86 , 38.86 , 12.35 
