Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 4,091.77 "," 4,416.12 "," 4,376.40 "," 4,319.35 "," 4,790.32 "," 5,068.15 "," 5,252.03 "," 5,389.13 "," 5,750.33 "," 6,225.32 "," 6,440.41 "," 6,739.55 "," 6,532.73 "
Expenses," 3,103.80 "," 3,415.91 "," 3,378.46 "," 3,291.38 "," 3,598.23 "," 3,874.96 "," 3,981.70 "," 4,163.16 "," 4,178.27 "," 4,241.78 "," 4,431.46 "," 4,637.29 "," 4,895.40 "
Operating Profit, 987.97 ," 1,000.21 ", 997.94 ," 1,027.97 "," 1,192.09 "," 1,193.19 "," 1,270.33 "," 1,225.97 "," 1,572.06 "," 1,983.54 "," 2,008.95 "," 2,102.26 "," 1,637.33 "
Other Income, 179.10 , 538.57 , 545.28 , 719.49 , 187.14 , 806.91 , 89.30 , -574.74 , -165.88 , 325.38 , 331.81 , -   , -   
Depreciation, 707.08 , 762.40 , 680.23 , 718.94 , 742.99 , 764.58 , 830.25 , 890.88 , 977.44 , 972.89 , 947.60 , 947.60 , 947.60 
Interest, 194.87 , 119.69 , 59.51 , 25.25 , 31.30 , 30.68 , 40.31 , 36.12 , 55.19 , 106.73 , 91.36 , 91.36 , 91.36 
Profit before tax, 265.12 , 656.69 , 803.48 ," 1,003.27 ", 604.94 ," 1,204.84 ", 489.07 , -275.77 , 373.55 ," 1,229.30 "," 1,301.80 "," 1,063.30 ", 598.37 
Tax, 93.78 , 181.45 , 261.05 , 328.65 , 212.26 , 515.01 , 222.44 , 166.55 , 164.77 , 266.64 , 281.63 ,22%,22%
Net profit, 171.34 , 475.24 , 542.43 , 674.62 , 392.68 , 689.83 , 266.63 , -442.32 , 208.78 , 962.66 ," 1,020.17 ", 833.27 , 468.92 
EPS, 6.01 , 16.68 , 19.03 , 23.67 , 13.78 , 24.20 , 9.36 , -15.52 , 7.33 , 33.78 , 35.78 , 29.23 , 16.45 
Price to earning, 23.46 , 8.76 , 10.08 , 11.13 , 17.11 , 18.63 , 41.39 , -24.65 , 31.83 , 31.46 , 34.70 , 34.70 , 22.85 
Price, 141.06 , 146.08 , 191.76 , 263.50 , 235.78 , 450.86 , 387.23 , 382.61 , 233.15 ," 1,062.80 "," 1,241.50 "," 1,014.05 ", 375.90 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,33.27%,17.99%,23.64%,23.24%,31.21%,24.79%,48.10%,0.00%,54.60%,41.45%,,,
OPM,24.15%,22.65%,22.80%,23.80%,24.89%,23.54%,24.19%,22.75%,27.34%,31.86%,31.19%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,4.77%,5.16%,5.38%,5.83%,8.26%,8.26%,4.77%
,,,,,,OPM,25.06%,25.72%,26.17%,27.54%,31.19%,31.19%,25.06%
,,,,,,Price to Earning, 22.85 , 26.61 , 31.60 , 32.66 , 34.70 , 34.70 , 22.85 
