Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 514.46 , 604.69 , 772.10 , 849.40 ," 1,075.21 "," 1,237.31 "," 1,386.30 "," 1,596.93 "," 1,609.86 "," 1,826.16 "," 2,307.46 "," 2,307.46 "," 2,048.16 "
Expenses, 446.59 , 534.96 , 635.20 , 672.14 , 827.49 , 963.72 ," 1,039.49 "," 1,180.85 "," 1,265.61 "," 1,302.63 "," 1,594.92 "," 1,594.92 "," 1,583.32 "
Operating Profit, 67.87 , 69.73 , 136.90 , 177.26 , 247.72 , 273.59 , 346.81 , 416.08 , 344.25 , 523.53 , 712.54 , 712.54 , 464.84 
Other Income, 5.79 , -9.71 , 15.62 , 4.11 , 11.86 , 18.35 , 43.25 , 43.46 , 58.41 , 39.77 , 33.26 , -   , -   
Depreciation, 20.52 , 23.73 , 34.99 , 24.73 , 22.60 , 26.92 , 25.35 , 25.10 , 43.41 , 44.38 , 50.76 , 50.76 , 50.76 
Interest, 2.79 , 4.53 , 2.55 , 0.66 , 0.63 , 0.76 , 0.80 , 1.04 , 6.81 , 7.05 , 8.14 , 8.14 , 8.14 
Profit before tax, 50.35 , 31.76 , 114.98 , 155.98 , 236.35 , 264.26 , 363.91 , 433.40 , 352.44 , 511.87 , 686.90 , 653.64 , 405.94 
Tax, 16.40 , 10.77 , 39.88 , 53.08 , 81.53 , 89.47 , 123.87 , 143.43 , 96.34 , 143.74 , 182.05 ,27%,27%
Net profit, 33.95 , 20.99 , 75.11 , 102.90 , 154.81 , 174.78 , 240.04 , 289.97 , 256.10 , 368.12 , 504.84 , 480.40 , 298.36 
EPS, 5.45 , 3.37 , 12.06 , 16.52 , 24.85 , 28.05 , 38.53 , 46.54 , 41.11 , 59.09 , 81.03 , 77.11 , 47.89 
Price to earning, 17.99 , 28.35 , 22.60 , 35.03 , 37.91 , 26.11 , 25.57 , 20.69 , 15.30 , 45.57 , 109.57 , 109.57 , 34.97 
Price, 98.03 , 95.50 , 272.48 , 578.63 , 941.93 , 732.45 , 985.35 , 963.10 , 629.10 ," 2,692.90 "," 8,878.35 "," 8,448.62 "," 1,674.78 "
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,64.21%,74.18%,37.32%,33.28%,28.16%,28.50%,28.54%,29.00%,40.12%,81.21%,,,
OPM,13.19%,11.53%,17.73%,20.87%,23.04%,22.11%,25.02%,26.05%,21.38%,28.67%,30.88%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,15.11%,13.09%,11.18%,9.62%,26.36%,26.36%,9.62%
,,,,,,OPM,22.70%,24.31%,24.87%,25.51%,30.88%,30.88%,22.70%
,,,,,,Price to Earning, 34.97 , 39.47 , 40.47 , 47.78 , 109.57 , 109.57 , 34.97 
