Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 5,299.96 "," 4,688.90 "," 4,283.30 "," 4,602.71 "," 4,338.28 "," 3,763.65 "," 2,727.42 "," 3,541.10 "," 3,215.08 "," 3,131.48 "," 3,819.16 ",#VALUE!,#VALUE!
Expenses," 4,705.72 "," 4,172.34 "," 3,864.01 "," 4,137.95 "," 3,960.33 "," 3,389.04 "," 2,487.79 "," 3,289.35 "," 3,000.04 "," 2,913.50 "," 3,579.69 ",#VALUE!,#VALUE!
Operating Profit, 594.24 , 516.56 , 419.29 , 464.76 , 377.95 , 374.61 , 239.63 , 251.75 , 215.04 , 217.98 , 239.47 ,#VALUE!,#VALUE!
Other Income, 68.91 , 72.24 , 64.30 , 116.09 , 110.23 , -31.01 , 150.91 , 188.14 , 140.55 , 37.50 , 134.26 , -   , -   
Depreciation, 46.95 , 54.86 , 57.77 , 64.12 , 60.89 , 65.43 , 49.37 , 50.13 , 62.61 , 63.99 , 65.98 , 65.98 , 65.98 
Interest, 15.30 , 18.31 , 18.93 , 19.69 , 4.60 , 3.59 , 4.02 , 5.26 , 5.23 , 8.57 , 9.93 , 9.93 , 9.93 
Profit before tax, 600.90 , 515.63 , 406.89 , 497.04 , 422.69 , 274.58 , 337.15 , 384.50 , 287.75 , 182.92 , 297.82 ,#VALUE!,#VALUE!
Tax, 194.04 , 165.67 , 153.92 , 161.10 , 125.20 , 129.75 , 98.90 , 109.26 , 73.76 , 41.90 , 55.44 ,19%,19%
Net profit, 406.86 , 349.96 , 252.97 , 335.94 , 297.49 , 144.83 , 238.25 , 275.24 , 213.99 , 141.02 , 242.38 ,#VALUE!,#VALUE!
EPS, 34.13 , 29.36 , 21.22 , 28.18 , 24.96 , 12.15 , 19.99 , 23.09 , 17.95 , 11.83 , 20.33 ,#VALUE!,#VALUE!
Price to earning, 13.61 , 19.20 , 35.26 , 37.92 , 30.39 , 80.65 , 56.77 , 42.07 , 41.25 , 113.57 , 99.34 ,#REF!,#REF!
Price, 464.50 , 563.60 , 748.20 ," 1,068.65 ", 758.50 , 979.95 ," 1,134.60 ", 971.50 , 740.45 ," 1,343.55 "," 2,019.15 ",#VALUE!,#VALUE!
