Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 627.03 , 877.16 ," 1,059.07 ", 911.16 , 836.00 , 829.82 ," 1,918.69 "," 2,584.50 "," 2,105.71 "," 2,281.37 "," 3,777.60 "," 3,777.60 "," 2,505.79 "
Expenses, 552.77 , 765.45 , 911.40 , 786.88 , 668.52 , 738.68 ," 1,754.73 "," 2,451.24 "," 1,954.24 "," 2,104.34 "," 3,350.83 "," 3,350.83 "," 2,339.82 "
Operating Profit, 74.26 , 111.71 , 147.67 , 124.28 , 167.48 , 91.14 , 163.96 , 133.26 , 151.47 , 177.03 , 426.77 , 426.77 , 165.97 
Other Income, 19.10 , 21.12 , 25.36 , 27.12 , 18.04 , 18.40 , 16.48 , 29.19 , 24.38 , 24.30 , 36.44 , -   , -   
Depreciation, 48.19 , 58.02 , 61.19 , 71.37 , 73.17 , 65.79 , 61.93 , 63.52 , 61.22 , 61.66 , 60.11 , 60.11 , 60.11 
Interest, 17.27 , 25.28 , 21.15 , 12.21 , 6.05 , 3.09 , 3.30 , 7.15 , 10.48 , 7.76 , 9.56 , 9.56 , 9.56 
Profit before tax, 27.90 , 49.53 , 90.69 , 67.82 , 106.30 , 40.66 , 115.21 , 91.78 , 104.15 , 131.91 , 393.54 , 357.10 , 96.30 
Tax, 11.35 , 21.30 , 27.90 , 23.23 , 38.46 , 12.81 , 42.06 , 33.77 , 9.12 , 33.77 , 98.89 ,25%,25%
Net profit, 16.55 , 28.23 , 62.80 , 44.60 , 67.84 , 27.86 , 73.16 , 58.00 , 95.03 , 98.15 , 294.65 , 267.37 , 72.10 
EPS, 1.58 , 2.70 , 6.00 , 4.26 , 6.48 , 2.66 , 6.99 , 5.54 , 9.08 , 9.37 , 28.16 , 25.55 , 6.89 
Price to earning, 27.04 , 14.95 , 8.46 , 12.75 , 10.21 , 29.13 , 26.77 , 27.90 , 8.36 , 17.13 , 14.81 , 17.05 , 14.81 
Price, 42.75 , 40.30 , 50.75 , 54.30 , 66.15 , 77.50 , 187.05 , 154.55 , 75.85 , 160.55 , 417.10 , 435.64 , 102.07 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,53.84%,37.12%,26.70%,37.60%,30.90%,60.19%,28.65%,36.14%,11.03%,21.36%,,,
OPM,11.84%,12.74%,13.94%,13.64%,20.03%,10.98%,8.55%,5.16%,7.19%,7.76%,11.30%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,15.43%,11.59%,22.24%,5.94%,65.58%,65.58%,5.94%
,,,,,,OPM,9.57%,8.80%,7.38%,6.62%,11.30%,11.30%,6.62%
,,,,,,Price to Earning, 17.95 , 18.38 , 20.68 , 17.05 , 14.81 , 17.05 , 14.81 
