Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 1,248.19 "," 1,281.43 "," 1,051.82 ", 949.87 , 700.62 , 888.85 ," 1,048.90 "," 1,245.33 "," 1,224.96 "," 1,145.22 "," 1,720.48 "," 1,720.48 "," 1,128.84 "
Expenses," 1,187.18 "," 1,287.31 "," 1,055.56 ", 978.97 , 690.05 , 821.05 , 955.91 ," 1,153.18 "," 1,131.74 ", 975.15 ," 1,438.87 "," 1,438.87 "," 1,067.32 "
Operating Profit, 61.01 , -5.88 , -3.74 , -29.10 , 10.57 , 67.80 , 92.99 , 92.15 , 93.22 , 170.07 , 281.61 , 281.61 , 61.52 
Other Income, 14.29 , 3.80 , 10.84 , -2.12 , 59.90 , 24.02 , 12.86 , 6.38 , 8.25 , 29.73 , 36.79 , -   , -   
Depreciation, 37.19 , 38.62 , 30.43 , 20.60 , 17.58 , 15.76 , 22.22 , 20.00 , 21.55 , 22.73 , 23.41 , 23.41 , 23.41 
Interest, 31.66 , 31.83 , 32.27 , 19.57 , 14.74 , 34.35 , 6.72 , 6.85 , 9.39 , 7.22 , 7.40 , 7.40 , 7.40 
Profit before tax, 6.45 , -72.53 , -55.60 , -71.39 , 38.15 , 41.71 , 76.91 , 71.68 , 70.53 , 169.85 , 287.59 , 250.80 , 30.71 
Tax, 0.51 , -21.97 , -18.30 , -18.32 , -   , 32.40 , 25.20 , 17.41 , 15.45 , 48.20 , 78.07 ,27%,27%
Net profit, 5.94 , -50.56 , -37.30 , -53.07 , 38.15 , 9.30 , 51.70 , 54.27 , 55.08 , 121.65 , 209.52 , 182.72 , 22.38 
EPS, 0.66 , -5.62 , -4.14 , -5.90 , 4.24 , 1.03 , 5.74 , 6.03 , 6.12 , 13.52 , 23.26 , 20.28 , 2.48 
Price to earning, 24.09 , -1.91 , -2.61 , -2.42 , 4.74 , 35.61 , 8.55 , 5.81 , 4.05 , 3.61 , 5.05 , 5.05 , 4.63 
Price, 15.90 , 10.75 , 10.80 , 14.25 , 20.10 , 36.80 , 49.10 , 35.05 , 24.80 , 48.80 , 117.55 , 102.51 , 11.51 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,75.76%,0.00%,0.00%,0.00%,0.00%,0.00%,8.70%,16.58%,24.51%,18.49%,,,
OPM,4.89%,0.00%,0.00%,0.00%,1.51%,7.63%,8.87%,7.40%,7.61%,14.85%,16.37%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-0.95%,1.22%,10.33%,2.97%,50.23%,50.23%,-0.95%
,,,,,,OPM,5.45%,7.31%,9.30%,9.83%,16.37%,16.37%,5.45%
,,,,,,Price to Earning, 11.44 , 9.63 , 10.45 , 4.63 , 5.05 , 5.05 , 4.63 
