Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 2,720.03 "," 3,317.95 "," 3,841.30 "," 3,734.91 "," 3,665.25 "," 4,617.38 "," 4,565.96 "," 5,219.52 "," 4,699.46 "," 4,519.29 "," 6,447.23 ",#VALUE!,#VALUE!
Expenses," 2,419.95 "," 2,762.58 "," 3,109.37 "," 3,073.82 "," 2,935.13 "," 3,731.59 "," 3,713.74 "," 4,242.18 "," 3,858.05 "," 3,705.29 "," 5,026.37 ",#VALUE!,#VALUE!
Operating Profit, 300.08 , 555.37 , 731.93 , 661.09 , 730.12 , 885.79 , 852.22 , 977.34 , 841.41 , 814.00 ," 1,420.86 ",#VALUE!,#VALUE!
Other Income, 20.16 , 22.44 , 11.96 , 34.00 , 33.34 , 106.13 , 61.81 , 45.75 , 23.90 , 39.61 , -36.59 , -   , -   
Depreciation, 207.53 , 261.44 , 268.41 , 321.32 , 336.62 , 412.41 , 404.03 , 363.91 , 333.30 , 336.46 , 339.64 , 339.64 , 339.64 
Interest, 171.78 , 235.28 , 210.33 , 205.96 , 145.23 , 141.01 , 118.21 , 112.26 , 110.80 , 72.00 , 90.64 , 90.64 , 90.64 
Profit before tax, -59.07 , 81.09 , 265.15 , 167.81 , 281.61 , 438.50 , 391.79 , 546.92 , 421.21 , 445.15 , 953.99 ,#VALUE!,#VALUE!
Tax, -15.33 , 31.76 , 68.12 , 49.99 , 39.28 , 101.52 , 125.93 , 176.00 , 79.41 , 99.41 , 236.96 ,25%,25%
Net profit, -43.74 , 49.33 , 197.03 , 117.82 , 242.33 , 336.98 , 265.86 , 370.92 , 341.80 , 345.74 , 717.03 ,#VALUE!,#VALUE!
EPS, -0.14 , 0.16 , 0.63 , 0.23 , 0.48 , 0.66 , 0.52 , 0.73 , 0.67 , 0.68 , 1.41 ,#VALUE!,#VALUE!
Price to earning, -7.55 , 4.85 , 2.32 , 9.89 , 10.78 , 13.08 , 11.37 , 9.85 , 6.34 , 20.71 , 38.24 ,#REF!,#REF!
Price, 1.08 , 0.77 , 1.47 , 2.29 , 5.13 , 8.65 , 5.93 , 7.17 , 4.25 , 14.05 , 53.85 ,#VALUE!,#VALUE!
