Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 2,488.44 "," 2,634.54 "," 2,731.18 "," 2,892.73 "," 2,972.09 "," 2,702.91 "," 1,868.51 "," 1,277.20 "," 1,077.74 "," 1,043.66 "," 1,086.31 "," 1,086.31 ", 838.51 
Expenses," 1,958.64 "," 2,184.92 "," 2,199.48 "," 2,291.52 "," 2,226.85 "," 2,057.01 "," 1,733.58 ", 613.54 , 656.04 , 554.77 , 609.90 , 583.13 , 636.98 
Operating Profit, 529.80 , 449.62 , 531.70 , 601.21 , 745.24 , 645.90 , 134.93 , 663.66 , 421.70 , 488.89 , 476.41 , 503.18 , 201.52 
Other Income, 19.03 , 51.01 , 82.60 , 45.25 , 39.71 , -924.28 ," -7,875.04 ", 400.06 ," -2,395.76 ", -755.71 , 8.37 , -   , -   
Depreciation, 543.40 , 595.05 , 609.33 , 610.93 , 459.66 , 795.82 , 532.91 , 177.58 , 194.98 , 168.73 , 161.92 , 161.92 , 161.92 
Interest, 522.98 , 564.35 , 565.05 , 650.78 , 683.63 ," 1,282.27 "," 1,568.97 "," 1,553.74 "," 1,545.07 "," 1,561.14 "," 1,545.53 "," 1,545.53 "," 1,545.53 "
Profit before tax, -517.55 , -658.77 , -560.08 , -615.25 , -358.34 ," -2,356.47 "," -9,841.99 ", -667.60 ," -3,714.11 "," -1,996.69 "," -1,222.67 "," -1,204.27 "," -1,505.93 "
Tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%
Net profit, -517.55 , -658.77 , -560.08 , -615.25 , -358.34 ," -2,356.47 "," -9,841.99 ", -667.60 ," -3,714.11 "," -1,996.69 "," -1,222.67 "," -1,204.27 "," -1,505.93 "
EPS, -2.41 , -3.06 , -2.87 , -3.15 , -1.83 , -12.05 , -50.35 , -3.42 , -19.00 , -10.21 , -6.26 , -6.17 , -7.71 
Price to earning, -5.47 , -2.30 , -2.63 , -2.54 , -3.67 , -0.60 , -0.11 , -0.91 , -0.09 , -1.38 , -   , -   , -   
Price, 13.16 , 7.06 , 7.54 , 8.00 , 6.72 , 7.28 , 5.65 , 3.11 , 1.80 , 14.10 , 192.90 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,21.29%,17.07%,19.47%,20.78%,25.07%,23.90%,7.22%,51.96%,39.13%,46.84%,43.86%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-9.20%,-12.84%,-18.89%,-17.65%,4.09%,4.09%,-18.89%
,,,,,,OPM,24.03%,26.76%,29.55%,46.32%,43.86%,46.32%,24.03%
,,,,,,Price to Earning,  ,  ,  ,  , -   , -   , -   
