Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 216.61 , 235.24 , 247.42 , 270.06 , 593.50 ," 2,519.17 "," 4,107.46 "," 2,756.84 ", 258.72 , 224.60 , 291.86 , 291.86 , 43.52 
Expenses, 206.57 , 226.82 , 234.98 , 254.21 , 577.20 ," 2,503.79 "," 4,082.51 "," 2,738.52 ", 247.43 , 215.25 , 265.62 , 265.62 , 43.17 
Operating Profit, 10.04 , 8.42 , 12.44 , 15.85 , 16.30 , 15.38 , 24.95 , 18.32 , 11.29 , 9.35 , 26.24 , 26.24 , 0.35 
Other Income, 2.99 , 2.38 , 1.31 , 1.20 , 3.46 , 2.09 , 5.38 , -0.01 , 1.45 , 1.26 , 1.04 , -   , -   
Depreciation, 5.04 , 6.19 , 5.66 , 6.97 , 8.60 , 5.93 , 4.46 , 3.68 , 10.40 , 7.77 , 6.13 , 6.13 , 6.13 
Interest, 6.58 , 9.65 , 7.43 , 6.92 , 5.73 , 2.81 , 1.42 , 0.41 , 2.36 , 1.90 , 0.75 , 0.75 , 0.75 
Profit before tax, 1.41 , -5.04 , 0.66 , 3.16 , 5.43 , 8.73 , 24.45 , 14.22 , -0.02 , 0.94 , 20.40 , 19.36 , -6.53 
Tax, 0.01 , 2.96 , 0.26 , 0.87 , 1.12 , 2.40 , 8.21 , 6.78 , -0.41 , 0.17 , 3.95 ,19%,19%
Net profit, 1.40 , -8.01 , 0.40 , 2.29 , 4.31 , 6.33 , 16.24 , 7.44 , 0.39 , 0.77 , 16.45 , 15.61 , -5.27 
EPS, 0.79 , -4.53 , 0.22 , 1.27 , 2.32 , 3.40 , 8.73 , 4.00 , 0.21 , 0.41 , 8.80 , 8.35 , -2.82 
Price to earning, 20.99 , -3.31 , 60.75 , 27.08 , 44.10 , 50.47 , 39.06 , 48.06 , 254.61 , 310.37 , 30.98 , 161.00 , 30.98 
Price, 16.60 , 15.00 , 13.50 , 34.45 , 102.20 , 171.75 , 341.05 , 192.25 , 53.10 , 127.80 , 272.60 ," 1,344.70 ", -87.26 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,14.69%,17.18%,37.50%,717.95%,0.00%,,,
OPM,4.64%,3.58%,5.03%,5.87%,2.75%,0.61%,0.61%,0.66%,4.36%,4.16%,8.99%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,0.40%,-1.37%,-17.66%,-62.04%,29.95%,29.95%,-62.04%
,,,,,,OPM,1.25%,1.04%,0.80%,1.20%,8.99%,8.99%,0.80%
,,,,,,Price to Earning, 88.65 , 100.59 , 122.26 , 161.00 , 30.98 , 161.00 , 30.98 
