Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 803.19 ," 1,005.22 "," 1,044.18 "," 1,090.99 "," 1,220.52 ", 576.07 , 666.08 , 967.74 , 904.44 ," 1,123.97 ", 927.15 ," 1,396.79 "," 1,108.81 "
Expenses, 675.76 , 819.48 , 862.97 , 989.33 ," 1,078.19 ", 813.48 , 798.19 ," 1,019.44 ", 993.60 ," 1,028.50 ", 955.41 ," 1,352.28 "," 1,108.81 "
Operating Profit, 127.43 , 185.74 , 181.21 , 101.66 , 142.33 , -237.41 , -132.11 , -51.70 , -89.16 , 95.47 , -28.26 , 44.51 , -   
Other Income, 9.39 , 14.00 , 83.91 , 19.89 , 19.13 , 365.99 ," 2,736.78 ", 94.21 , 97.72 , 47.37 , 37.90 , -   , -   
Depreciation, 28.29 , 34.82 , 42.67 , 37.68 , 34.99 , 39.41 , 45.04 , 61.71 , 71.09 , 75.89 , 81.82 , 81.82 , 81.82 
Interest, 3.30 , 2.48 , 2.48 , 2.37 , 2.29 , 2.00 , 3.17 , 0.62 , 1.28 , 1.30 , 1.87 , 1.87 , 1.87 
Profit before tax, 105.23 , 162.44 , 219.97 , 81.50 , 124.18 , 87.17 ," 2,556.46 ", -19.82 , -63.81 , 65.65 , -74.05 , -39.18 , -83.69 
Tax, 22.77 , 32.85 , 43.00 , 17.10 , 23.69 , -16.70 , -0.14 , -28.62 , -7.50 , 11.56 , -2.15 ,0%,0%
Net profit, 82.46 , 129.60 , 176.97 , 64.40 , 100.48 , 103.87 ," 2,556.60 ", 8.80 , -56.32 , 54.08 , -71.90 , -39.18 , -83.69 
EPS, 9.13 , 14.32 , 19.51 , 7.09 , 11.07 , 11.43 , 363.67 , 1.25 , -8.00 , 7.68 , -10.21 , -5.57 , -11.89 
Price to earning, 14.56 , 12.13 , 11.75 , 28.66 , 19.97 , 25.12 , 0.78 , 155.68 , -19.48 , 40.43 , -   , 98.06 , -   
Price, 132.95 , 173.75 , 229.35 , 203.30 , 221.00 , 287.05 , 285.30 , 194.60 , 155.85 , 310.60 , 291.65 , -545.71 , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,32.85%,31.40%,40.98%,28.18%,18.08%,26.25%,1.38%,320.00%,0.00%,52.07%,,,
OPM,15.87%,18.48%,17.35%,9.32%,11.66%,0.00%,0.00%,0.00%,0.00%,8.49%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,3.80%,1.06%,-1.63%,19.05%,24.27%,24.27%,-1.63%
,,,,,,OPM,8.87%,5.18%,2.25%,3.19%,0.00%,3.19%,0.00%
,,,,,,Price to Earning, 34.34 , 45.11 , 55.50 , 98.06 , -   , 98.06 , -   
