Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 3,315.64 "," 3,939.44 "," 4,968.27 "," 5,334.99 "," 5,981.00 "," 6,939.00 "," 7,263.00 "," 8,660.00 "," 9,641.00 "," 11,345.00 "," 14,734.00 "," 14,734.00 "," 13,189.65 "
Expenses," 2,844.35 "," 3,512.71 "," 4,302.68 "," 4,792.53 "," 5,143.00 "," 5,996.00 "," 6,314.00 "," 7,821.00 "," 8,436.00 "," 9,725.00 "," 12,997.00 "," 12,913.00 "," 11,634.71 "
Operating Profit, 471.29 , 426.73 , 665.59 , 542.46 , 838.00 , 943.00 , 949.00 , 839.00 ," 1,205.00 "," 1,620.00 "," 1,737.00 "," 1,821.00 "," 1,554.94 "
Other Income, 143.53 , 129.57 , 297.98 , 260.30 , 481.00 , 279.00 , 428.00 , 556.00 , 496.00 , 98.00 , 48.00 , -   , -   
Depreciation, 143.49 , 157.76 , 169.09 , 186.75 , 619.00 , 655.00 , 666.00 , 724.00 , 891.00 , 977.00 ," 1,030.00 "," 1,030.00 "," 1,030.00 "
Interest, 164.37 , 101.32 , 241.98 , 35.27 , 192.00 , 149.00 , 135.00 , 185.00 , 272.00 , 307.00 , 352.00 , 352.00 , 352.00 
Profit before tax, 306.96 , 297.22 , 552.50 , 580.74 , 508.00 , 418.00 , 576.00 , 486.00 , 538.00 , 434.00 , 403.00 , 439.00 , 172.94 
Tax, 79.92 , 89.09 , 136.77 , 117.41 , 123.00 , 173.00 , 28.00 , 81.00 , 77.00 , 214.00 , 62.00 ,15%,15%
Net profit, 227.04 , 208.13 , 415.73 , 463.33 , 385.00 , 245.00 , 548.00 , 405.00 , 461.00 , 220.00 , 341.00 , 371.46 , 146.33 
EPS, 3.28 , 3.13 , 6.47 , 7.21 , 5.99 , 3.22 , 7.19 , 5.30 , 6.03 , 2.88 , 4.47 , 4.86 , 1.92 
Price to earning, 26.46 , 24.97 , 19.02 , 40.90 , 53.18 , 150.42 , 67.75 , 120.59 , 54.11 , 222.90 , 177.71 , 177.71 , 87.09 
Price, 86.73 , 78.27 , 122.97 , 294.77 , 318.47 , 484.60 , 486.83 , 639.23 , 326.50 , 641.85 , 793.55 , 864.44 , 166.88 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,50.85%,53.16%,41.24%,46.25%,55.84%,144.29%,74.45%,100.74%,99.57%,347.73%,,,
OPM,14.21%,10.83%,13.40%,10.17%,14.01%,13.59%,13.07%,9.69%,12.50%,14.28%,11.79%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,14.65%,12.52%,13.66%,16.03%,29.87%,29.87%,12.52%
,,,,,,OPM,12.61%,12.57%,12.67%,12.36%,11.79%,12.36%,11.79%
,,,,,,Price to Earning, 87.09 , 110.94 , 132.25 , 143.83 , 177.71 , 177.71 , 87.09 
