Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 2,836.89 "," 3,044.53 "," 3,287.12 "," 3,746.05 "," 3,431.79 "," 3,246.54 "," 1,386.65 "," 1,708.03 "," 1,392.62 "," 1,345.60 "," 1,735.87 "," 1,735.87 "," 1,049.18 "
Expenses," 2,469.68 "," 2,515.42 "," 2,661.80 "," 3,138.20 "," 3,140.34 "," 2,900.66 "," 1,638.70 "," 1,795.04 "," 1,221.96 "," 1,163.28 "," 1,493.51 "," 1,493.51 ", 968.42 
Operating Profit, 367.21 , 529.11 , 625.32 , 607.85 , 291.45 , 345.88 , -252.05 , -87.01 , 170.66 , 182.32 , 242.36 , 242.36 , 80.76 
Other Income, 41.59 , 43.22 , 67.50 , -61.63 , 33.89 , 116.76 , 75.15 , 29.65 , 511.33 , 18.76 , 34.70 , -   , -   
Depreciation, 197.76 , 235.24 , 303.51 , 383.00 , 273.11 , 268.58 , 28.96 , 28.10 , 27.77 , 30.64 , 31.22 , 31.22 , 31.22 
Interest, 254.85 , 326.77 , 426.17 , 507.39 , 531.14 , 549.01 , 76.48 , 90.22 , 58.07 , 44.52 , 37.08 , 37.08 , 37.08 
Profit before tax, -43.81 , 10.32 , -36.86 , -344.17 , -478.91 , -354.95 , -282.34 , -175.68 , 596.15 , 125.92 , 208.76 , 174.06 , 12.46 
Tax, -11.04 , 3.27 , -11.18 , -51.76 , -59.42 , -   , -   , -234.68 , 200.75 , 25.40 , 44.08 ,21%,21%
Net profit, -32.77 , 7.05 , -25.68 , -292.41 , -419.49 , -354.95 , -282.34 , 59.00 , 395.40 , 100.52 , 164.68 , 137.31 , 9.83 
EPS, -1.08 , 0.23 , -0.84 , -9.60 , -13.77 , -11.65 , -9.27 , 1.94 , 12.98 , 3.30 , 5.43 , 4.52 , 0.32 
Price to earning, -28.59 , 95.30 , -41.71 , -2.40 , -0.84 , -1.50 , -1.97 , 20.92 , 1.23 , 10.02 , 26.45 , 26.45 , 14.65 
Price, 30.75 , 22.05 , 35.15 , 23.00 , 11.50 , 17.45 , 18.30 , 40.50 , 16.00 , 33.05 , 143.50 , 119.65 , 4.74 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,64.96%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,12.94%,17.38%,19.02%,16.23%,8.49%,10.65%,0.00%,0.00%,12.25%,13.55%,13.96%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-7.95%,-11.98%,-17.08%,-1.00%,29.00%,29.00%,-17.08%
,,,,,,OPM,12.27%,9.83%,7.70%,7.94%,13.96%,13.96%,7.70%
,,,,,,Price to Earning, 30.78 , 14.65 , 14.65 , 14.65 , 26.45 , 26.45 , 14.65 
