Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 959.24 ," 1,351.31 "," 1,505.54 "," 1,731.19 "," 1,844.89 "," 2,085.64 "," 2,311.74 "," 2,566.44 "," 2,481.96 "," 2,699.00 "," 3,273.48 ",#VALUE!,#VALUE!
Expenses, 865.15 ," 1,241.37 "," 1,383.00 "," 1,598.18 "," 1,666.88 "," 1,875.70 "," 2,124.02 "," 2,346.74 "," 2,227.95 "," 2,392.22 "," 2,942.24 ",#VALUE!,#VALUE!
Operating Profit, 94.09 , 109.94 , 122.54 , 133.01 , 178.01 , 209.94 , 187.72 , 219.70 , 254.01 , 306.78 , 331.24 ,#VALUE!,#VALUE!
Other Income, 1.80 , 3.62 , 4.84 , 4.49 , 7.23 , 12.13 , 10.33 , 17.98 , 23.24 , 20.81 , 13.99 , -   , -   
Depreciation, 9.69 , 11.41 , 12.04 , 15.44 , 15.36 , 16.24 , 19.11 , 21.82 , 28.09 , 37.32 , 46.83 , 46.83 , 46.83 
Interest, 17.03 , 19.97 , 21.06 , 20.61 , 8.92 , 2.10 , 1.66 , 1.27 , 3.73 , 5.60 , 8.30 , 8.30 , 8.30 
Profit before tax, 69.17 , 82.18 , 94.28 , 101.45 , 160.96 , 203.73 , 177.28 , 214.59 , 245.43 , 284.67 , 290.10 ,#VALUE!,#VALUE!
Tax, 18.37 , 19.26 , 24.15 , 30.72 , 49.28 , 59.12 , 44.19 , 49.07 , 60.28 , 85.69 , 85.57 ,29%,29%
Net profit, 50.80 , 62.92 , 70.13 , 70.72 , 111.68 , 144.62 , 133.09 , 165.53 , 185.16 , 198.98 , 204.53 ,#VALUE!,#VALUE!
EPS, 1.22 , 1.51 , 1.68 , 1.68 , 2.65 , 3.41 , 3.13 , 3.88 , 4.32 , 4.63 , 4.74 ,#VALUE!,#VALUE!
Price to earning, 10.83 , 20.77 , 19.88 , 38.75 , 23.71 , 50.92 , 71.07 , 57.34 , 35.89 , 54.56 , 47.22 ,#REF!,#REF!
Price, 13.16 , 31.27 , 33.35 , 65.24 , 62.89 , 173.40 , 222.20 , 222.35 , 155.15 , 252.35 , 223.75 ,#VALUE!,#VALUE!
