Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 447.46 , 554.27 , 696.13 , 771.73 , 630.95 , 640.79 , 729.68 ," 1,127.92 "," 1,028.87 ", 954.26 ," 1,409.19 "," 1,409.19 "," 1,019.21 "
Expenses, 352.44 , 433.93 , 543.24 , 579.63 , 424.10 , 422.95 , 531.39 , 702.91 , 613.98 , 601.00 ," 1,014.78 ", 868.73 , 733.95 
Operating Profit, 95.02 , 120.34 , 152.89 , 192.10 , 206.85 , 217.84 , 198.29 , 425.01 , 414.89 , 353.26 , 394.41 , 540.46 , 285.26 
Other Income, 2.80 , 3.76 , 9.17 , 8.82 , 6.09 , 12.48 , 30.62 , 29.80 , 44.99 , 25.86 , 52.41 , -   , -   
Depreciation, 7.03 , 9.95 , 15.32 , 17.66 , 18.52 , 21.61 , 23.36 , 27.39 , 33.16 , 42.91 , 44.54 , 44.54 , 44.54 
Interest, 9.19 , 11.54 , 18.15 , 9.76 , 7.86 , 2.75 , 2.17 , 2.18 , 2.04 , 0.95 , 0.13 , 0.13 , 0.13 
Profit before tax, 81.60 , 102.61 , 128.59 , 173.50 , 186.56 , 205.96 , 203.38 , 425.24 , 424.68 , 335.26 , 402.15 , 495.79 , 240.59 
Tax, 26.79 , 33.94 , 42.43 , 57.70 , 54.99 , 65.69 , 59.50 , 142.75 , 90.84 , 65.91 , 85.73 ,21%,21%
Net profit, 54.81 , 68.66 , 86.15 , 115.79 , 131.57 , 140.28 , 143.88 , 282.49 , 333.83 , 269.34 , 316.44 , 390.10 , 189.30 
EPS, 5.56 , 6.97 , 8.75 , 11.22 , 12.75 , 13.59 , 14.00 , 27.48 , 32.47 , 26.20 , 30.71 , 37.86 , 18.37 
Price to earning, 7.50 , 7.44 , 16.07 , 23.35 , 15.26 , 27.88 , 32.24 , 29.92 , 23.85 , 53.43 , 65.14 , 65.14 , 27.46 
Price, 41.73 , 51.88 , 140.53 , 261.95 , 194.53 , 379.00 , 451.28 , 822.18 , 774.55 ," 1,399.95 "," 2,000.60 "," 2,466.27 ", 504.55 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,18.01%,17.97%,17.18%,15.60%,15.69%,1.84%,16.08%,12.74%,16.94%,22.90%,,,
OPM,21.24%,21.71%,21.96%,24.89%,32.78%,34.00%,27.17%,37.68%,40.32%,37.02%,27.99%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,8.78%,4.61%,8.63%,9.36%,47.67%,47.67%,4.61%
,,,,,,OPM,31.34%,34.13%,35.91%,38.35%,27.99%,38.35%,27.99%
,,,,,,Price to Earning, 27.46 , 33.88 , 38.74 , 43.09 , 65.14 , 65.14 , 27.46 
