Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 3,908.51 "," 4,148.57 "," 5,159.11 "," 5,730.32 "," 5,602.18 "," 5,690.95 "," 5,851.37 "," 6,414.58 "," 6,325.15 "," 5,787.64 "," 8,451.23 ",#VALUE!,#VALUE!
Expenses," 3,415.72 "," 3,320.43 "," 3,897.80 "," 4,788.74 "," 4,493.96 "," 4,559.88 "," 4,992.81 "," 5,283.06 "," 5,442.37 "," 5,048.39 "," 6,399.04 ",#VALUE!,#VALUE!
Operating Profit, 492.79 , 828.14 ," 1,261.31 ", 941.58 ," 1,108.22 "," 1,131.07 ", 858.56 ," 1,131.52 ", 882.78 , 739.25 ," 2,052.19 ",#VALUE!,#VALUE!
Other Income, 60.57 , 54.90 , 64.03 , 158.07 , 240.97 , 628.36 , 185.06 , 218.20 , 171.98 , 189.47 , 383.01 , -   , -   
Depreciation, 234.67 , 253.86 , 294.13 , 488.85 , 363.10 , 329.49 , 228.55 , 241.48 , 319.21 , 350.13 , 353.22 , 353.22 , 353.22 
Interest, 173.22 , 174.35 , 151.83 , 121.54 , 86.71 , 125.13 , 114.32 , 117.84 , 132.54 , 111.43 , 98.11 , 98.11 , 98.11 
Profit before tax, 145.47 , 454.83 , 879.38 , 489.26 , 899.38 ," 1,304.81 ", 700.75 , 990.40 , 603.01 , 467.16 ," 1,983.87 ",#VALUE!,#VALUE!
Tax, 35.80 , 131.11 , 227.50 , 130.16 , 222.98 , 303.22 , 154.99 , 294.52 , 57.52 , 116.75 , 455.49 ,23%,23%
Net profit, 109.67 , 323.73 , 651.88 , 359.11 , 676.40 ," 1,001.59 ", 545.76 , 695.88 , 545.49 , 350.41 ," 1,528.38 ",#VALUE!,#VALUE!
EPS, 3.45 , 10.17 , 20.48 , 11.28 , 21.25 , 34.87 , 19.00 , 24.21 , 18.97 , 12.18 , 52.76 ,#VALUE!,#VALUE!
Price to earning, 11.68 , 5.17 , 3.45 , 9.60 , 7.28 , 7.53 , 12.86 , 8.99 , 6.59 , 21.32 , 8.70 ,#REF!,#REF!
Price, 40.23 , 52.54 , 70.65 , 108.29 , 154.70 , 262.53 , 244.44 , 217.63 , 125.01 , 259.54 , 459.20 ,#VALUE!,#VALUE!
