Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 3,150.80 "," 3,527.40 "," 4,042.10 "," 5,284.40 "," 7,032.00 "," 3,230.70 "," 5,809.90 "," 6,037.40 "," 6,347.40 "," 7,790.40 "," 7,971.00 "," 9,561.45 "," 7,955.36 "
Expenses," 2,482.80 "," 2,819.50 "," 3,231.90 "," 3,749.60 "," 4,454.30 "," 2,908.90 "," 4,163.60 "," 4,400.30 "," 4,915.50 "," 5,467.50 "," 5,916.70 "," 7,006.11 "," 5,951.26 "
Operating Profit, 668.00 , 707.90 , 810.20 ," 1,534.80 "," 2,577.70 ", 321.80 ," 1,646.30 "," 1,637.10 "," 1,431.90 "," 2,322.90 "," 2,054.30 "," 2,555.33 "," 2,004.10 "
Other Income, 236.70 , 51.30 , 305.40 , 184.50 , 173.80 , 582.40 , 207.90 , 597.90 , 847.90 , -112.40 , -210.80 , -   , -   
Depreciation, 108.20 , 116.80 , 127.40 , 211.90 , 221.20 , 250.90 , 293.10 , 358.20 , 428.90 , 451.10 , 470.90 , 470.90 , 470.90 
Interest, 126.10 , 111.00 , 42.50 , 42.80 , 26.50 , 11.10 , 63.90 , 89.60 , 233.90 , 70.90 , 113.40 , 113.40 , 113.40 
Profit before tax, 670.40 , 531.40 , 945.70 ," 1,464.60 "," 2,503.80 ", 642.20 ," 1,497.20 "," 1,787.20 "," 1,617.00 "," 1,688.50 "," 1,259.20 "," 1,971.03 "," 1,419.80 "
Tax, 12.90 , 32.80 , 42.10 , 193.50 , 466.30 , -19.70 , 406.40 , 301.50 , 204.10 , 212.30 , 183.50 ,15%,15%
Net profit, 657.50 , 498.60 , 903.60 ," 1,271.10 "," 2,037.50 ", 661.90 ," 1,090.80 "," 1,485.70 "," 1,412.90 "," 1,476.20 "," 1,075.70 "," 1,683.80 "," 1,212.90 "
EPS, 6.42 , 4.87 , 8.83 , 12.42 , 19.90 , 6.47 , 10.66 , 14.51 , 13.80 , 14.42 , 10.51 , 16.46 , 11.86 
Price to earning, 23.62 , 30.50 , 23.22 , 28.06 , 15.92 , 68.36 , 35.46 , 23.91 , 19.36 , 30.58 , 34.76 , 34.76 , 27.15 
Price, 151.70 , 148.55 , 204.99 , 348.36 , 316.90 , 442.00 , 377.85 , 347.05 , 267.25 , 440.90 , 365.45 , 572.04 , 321.91 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,23.36%,30.81%,20.40%,19.33%,16.08%,49.51%,32.86%,24.12%,25.37%,24.28%,,,
OPM,21.20%,20.07%,20.04%,29.04%,36.66%,9.96%,28.34%,27.12%,22.56%,29.82%,25.77%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,10.58%,9.83%,2.07%,10.27%,22.73%,22.73%,2.07%
,,,,,,OPM,26.14%,27.62%,25.19%,26.73%,25.77%,26.73%,25.19%
,,,,,,Price to Earning, 30.34 , 32.05 , 35.40 , 27.15 , 34.76 , 34.76 , 27.15 
