TICKER,COMPANY_NAME,SECTOR,CAP_SIZE,BETA,DIVIDEND_YIELD,SECTOR_PE,EPS,PRICE TO EARNING,DIFFERENTIAL_PE,INV_BETA,SALES,NET PROFIT,EBITDA,EBITDA_MARGIN
MARUTI,Maruti Suzuki India Limited,Automobile,L,0.93,0.58,48.8,214.846,31.638000000000005,35.168032786885234,1.075268817204301,"[68034.8, 79762.7, 86020.3, 75610.6, 70332.5]","[7350.2, 7721.8, 7500.6, 5650.6, 4229.7]","[12651.8, 14107.0, 13560.3, 10723.4, 8291.699999999999]","[18.596071422272132, 17.686211725530857, 15.764069644025886, 14.182402996405266, 11.789286602921834]"
TATAMOTORS,Tata Motors Limited,Automobile,L,1.77,0.0,48.8,-7.160000000000001,-33.298,168.23360655737704,0.5649717514124294,"[44316.34, 57896.53, 69202.76, 43928.17, 47031.47]","[-2429.6, -1034.85, 2020.6, -7289.63, -2395.44]","[2252.8599999999997, 3899.4000000000005, 7291.139999999999, -1779.0500000000002, 3727.58]","[5.083587678946411, 6.735118667733628, 10.535909261422523, -4.04990692760477, 7.925714420578391]"
M&M,Mahindra & Mahindra Limited,Automobile,L,1.05,1.05,48.8,23.162,91.022,-86.52049180327872,0.9523809523809523,"[44053.5, 48685.55, 53614.0, 45487.78, 45040.98]","[3643.39, 4356.01, 4796.04, 1330.55, 268.66]","[6408.58, 7693.99, 8298.8, 5451.889999999999, 4064.1499999999996]","[14.547266392000635, 15.803436543286457, 15.478792852613122, 11.98539475876818, 9.023227292123748]"
ASHOKLEY,Ashok Leyland Limited,Automobile,M,1.38,0.49,48.8,3.336,0.9019999999999981,98.15163934426229,0.7246376811594204,"[20140.14, 26356.4, 29054.95, 17467.47, 15301.45]","[1223.08, 1717.73, 1983.2, 239.52, -313.68]","[2003.3600000000001, 3131.59, 3188.1900000000005, 1141.17, 642.59]","[9.94710066563589, 11.881706151067672, 10.972966740607024, 6.533115557089836, 4.199536645219897]"
TVSELECT,TVS Electronics Limited,Automobile,M,0.89,0.55,48.8,3.3500000000000005,140.514,-187.93852459016398,1.1235955056179776,"[2519.17, 4107.46, 2756.84, 258.72, 224.6]","[6.33, 16.24, 7.44, 0.39, 0.77]","[17.47, 30.33, 18.310000000000002, 12.74, 10.61]","[0.6934823771321507, 0.7384125469268112, 0.6641662192945547, 4.924242424242424, 4.723953695458593]"
ESCORTS,Escorts Limited,Automobile,M,0.4,0.4,48.8,37.04,25.398000000000003,47.95491803278688,2.5,"[4093.16, 4995.12, 6196.36, 5760.95, 6929.29]","[160.44, 344.72, 484.91, 485.54, 874.06]","[330.22, 609.8700000000001, 826.2800000000001, 758.85, 1283.79]","[8.06760546863548, 12.20931629270168, 13.334925666036192, 13.1723066508128, 18.52700637439045]"
JAMNAAUTO,Jamna Auto Industried Limited,Automobile,S,1.02,0.72,48.8,2.4799999999999995,22.834000000000003,53.20901639344261,0.9803921568627451,"[1081.54, 1608.56, 2045.53, 1058.82, 1052.71]","[104.05, 125.34, 139.78, 47.92, 76.72]","[189.96999999999997, 232.5, 272.13, 122.77, 143.68]","[17.56476875566322, 14.453921519868702, 13.303642576740502, 11.594983094388093, 13.648583180553048]"
OLECTRA,Olectra Greentech Limited,Automobile,S,0.84,0.0,48.8,1.036,35.260000000000005,27.74590163934425,1.1904761904761905,"[104.89, 161.49, 290.3, 395.53, 277.22]","[8.42, 8.89, -13.58, 10.7, 12.21]","[21.310000000000002, 21.240000000000002, 1.3499999999999979, 35.97, 32.31]","[20.316522070740778, 13.152517183726546, 0.4650361694798476, 9.094126867747073, 11.655003246519009]"
JBMA,JBM Auto Limited,Automobile,S,0.81,0.12,48.8,5.3759999999999994,26.96,44.75409836065573,1.2345679012345678,"[698.06, 765.78, 2206.96, 1946.73, 1965.59]","[39.76, 32.1, 96.63, 69.47, 52.92]","[102.25, 99.41, 282.57, 245.59999999999997, 214.25]","[14.647738016789388, 12.981535166758077, 12.803585021930619, 12.616027903201777, 10.900035103963695]"
SHARDAMOTR,Sharda Motor Industries Limited,Automobile,S,0.81,0.33,48.8,24.212,13.1,73.15573770491804,1.2345679012345678,"[1041.89, 1155.45, 1139.87, 862.99, 1736.54]","[56.75, 78.61, 87.86, 57.75, 78.59]","[134.51999999999998, 162.66, 167.32, 119.61000000000001, 150.69]","[12.911151849043563, 14.077632091392964, 14.678866888329372, 13.859952027254083, 8.67760028562544]"
